,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
0,89,75.782940196217,26.830149137518,2.0,90,577797.3708399113,2967862.8451970844,9118,9588,10682,11190,12245,11641,11333,0.0450181352677617,2.7902909233654523,2.718412459181099
1,136,75.8968992508945,26.8864219498841,4.0,137,589077.4197388667,2974170.8379830853,8851,9787,10831,11626,14722,15425,13833,0.1175041748899342,2.41243689586349,0.023319069890868
2,191,75.7548074358156,26.8970044788047,3.0,192,574957.7582407291,2975250.9959747097,8272,8692,9588,10238,13723,14658,12711,0.14544468093986,2.6339925357127427,0.0329445755963495
3,112,75.9468961219307,26.9162467091978,3.0,113,594018.5204388212,2977510.5626088167,7568,7921,9158,8732,18418,12136,9780,0.3567587476979729,2.040760081230048,1.9393205472278527
4,157,75.8698772382174,26.8903551510257,4.0,158,586390.5559657397,2974587.7846607203,9273,9948,11365,12007,14417,14674,14102,0.0912049651831664,2.423551314870831,0.0088343473926643
5,154,75.8705609324093,26.8911286548499,4.0,155,586457.8703049709,2974673.9283720995,8344,8870,10117,10942,15947,14992,12808,0.1861355944810138,2.2907458563535825,2.0873654610685475
6,88,75.7811830802976,26.8331684071259,2.0,89,577620.7091956206,2968196.191909277,7959,8202,9043,8845,13767,10844,9820,0.217672032549088,2.666023673827257,2.5441062939335968
7,277,75.8440427016502,27.0118691174032,2.0,278,583734.8537358531,2988029.989071657,7900,8070,8431,8345,8423,8237,7961,0.0046517175572518,0.0004746647680075,3.922569027611021
8,244,75.7569751875868,26.9333077118061,1.0,245,575148.9892037174,2979273.3581228694,7867,8070,8862,8561,15700,12022,9836,0.2942582745970888,2.3897891051217237,2.231368588124947
9,187,75.7559450168387,26.8933440366416,3.0,188,575073.1519908512,2974846.2272006464,8807,9108,10171,10815,15265,15319,13303,0.1706288343558275,2.376238402264498,0.0017656290871043
10,8,75.8543916489155,26.9573515339803,2.0,9,584802.4482515865,2981998.192711276,7650,7870,8314,8167,8263,7935,7735,0.0058429701765063,0.0030765518489473,4.025682182985529
11,3,75.7805687473377,26.9521859838651,4.0,4,577478.4248655158,2981378.635184518,9411,10435,11441,12021,14159,14605,13266,0.081665393430099,2.4538281249999905,0.0155054929773327
12,205,75.7511791027943,26.8984310421038,4.0,206,574596.4893504687,2975406.8643365954,9035,9866,11487,12431,14183,14624,13931,0.0658300142781992,2.447993767043232,0.0153087791161869
